Fecha,IPC,re_USD,re_MXN,V_P1,V_P2
01/01/16, 0.1900 ," 1,932.4979 "," 6,464.3860 ", 0.0010 , 978.9478 
01/02/16, 0.3600 ," 2,082.2151 "," 7,167.1880 ", 0.0011 ," 1,139.0585 "
01/03/16, 0.3600 ," 2,191.1363 "," 7,522.4170 ", 0.0004 , 385.7299 
01/04/16, 0.2200 ," 2,171.3015 "," 7,389.9830 ",-0.0008 ,-818.9233 
01/05/16, 0.2100 ," 2,478.2101 "," 8,642.0810 ",-0.0011 ,"-1,133.7639 "
01/06/16, 0.2500 ," 2,312.3136 "," 7,684.9200 ", 0.0003 , 272.0388 
01/07/16, 0.1700 ," 2,248.6248 "," 7,648.9790 ", 0.0006 , 644.3188 
01/08/16, 0.1900 ," 2,269.2888 "," 7,784.8120 ", 0.0007 , 698.9686 
01/09/16, 0.4800 ," 2,374.0707 "," 7,797.7440 ", 0.0015 ," 1,498.5129 "
01/10/16, 0.2800 ," 2,220.1971 "," 7,930.1650 ", 0.0015 ," 1,508.2884 "
01/11/16, 0.2200 ," 2,370.9655 "," 7,439.1470 ", 0.0019 ," 1,899.6090 "
01/12/16, 0.4500 ," 2,342.4602 "," 8,084.9990 ", 0.0011 ," 1,079.0627 "
01/01/17, 0.5800 ," 2,147.8962 "," 7,242.8780 ", 0.0040 ," 4,037.9806 "
01/02/17, 0.7600 ," 2,141.9286 "," 7,060.1590 ", 0.0014 ," 1,380.5828 "
01/03/17, 0.5700 ," 2,618.4356 "," 8,276.6190 ", 0.0015 ," 1,461.0449 "
01/04/17, 0.4500 ," 2,404.4485 "," 7,816.3380 ", 0.0003 , 287.7737 
01/05/17, 0.2800 ," 2,694.8252 "," 8,993.0440 ",-0.0003 ,-287.6120 
01/06/17, 0.3000 ," 2,552.3467 "," 8,165.8210 ", 0.0006 , 590.0786 
01/07/17, 0.2700 ," 2,599.9785 "," 8,352.3280 ", 0.0009 , 885.9014 
01/08/17, 0.2500 ," 2,617.6073 "," 8,391.0400 ", 0.0011 ," 1,148.5575 "
01/09/17, 0.2800 ," 2,489.2140 "," 8,143.4490 ", 0.0007 , 712.9025 
01/10/17, 0.2500 ," 2,842.5028 "," 8,988.9230 ", 0.0015 ," 1,453.4901 "
01/11/17, 0.3400 ," 2,420.8104 "," 7,808.1980 ", 0.0023 ," 2,339.0125 "
01/12/17, 0.4200 ," 2,760.5513 "," 8,846.3030 ", 0.0013 ," 1,286.7729 "
01/01/18, 0.2800 ," 2,267.6230 "," 7,384.8980 ", 0.0012 ," 1,191.3800 "
01/02/18, 0.4900 ," 2,244.4429 "," 7,408.3420 ", 0.0009 , 851.5060 
01/03/18, 0.3300 ," 2,674.8575 "," 8,562.8020 ", 0.0007 , 713.2636 
